asset_or_boundary,threat_scenario,impact,preventive_control,verification_evidence,residual_risk,release_gate
connector_grant,"Connector receives broader account category or time access than the user intended",excessive_collection,"OS-scoped grant plus in-app category and date controls","Permission matrix test on every supported OS version",OS APIs may expose coarse scopes,"No connector ships without documented minimum scope"
source_content,"A message calendar entry or document contains instructions that manipulate the narrative model",prompt_injection,"Treat connector content as data; isolate system policy; restrict model tools","Seeded injection corpus cannot change policy or trigger actions",Novel injection patterns remain possible,"No content-driven external action in MVP"
local_database,"Another app backup service or device user reads the personal corpus",confidentiality_loss,"Per-device encryption key in OS keystore; protected files; backup exclusion","Locked-device and backup inspection tests",Compromised unlocked OS can expose data,"Security test passes on device matrix"
derived_artifacts,"Source deletion leaves embeddings entities summaries or narrative claims",incomplete_deletion,"Derivation graph and cascading delete or recomputation","Seeded source disappears from all indexes caches and narratives",External user-created exports cannot be recalled,"Deletion integration test passes"
notifications,"Sensitive inference appears on a lock screen",shoulder_surfing,"Generic notification text; sensitive content only after local unlock","Locked-screen snapshot contains no personal content",User may enable broader previews manually,"Safe preview is default and regression-tested"
model_update,"A malicious or corrupted model update changes behavior or exfiltrates data",supply_chain_compromise,"Signed manifest pinned digest offline inference sandbox and rollback","Tampered artifact rejected; previous model restored",Trusted publisher can still ship harmful behavior,"Update and rollback drill passes"
diagnostics,"Crash logs analytics or traces contain raw personal data",secondary_data_leak,"Structured logging allowlist; local diagnostics; explicit export","Secret-seeded workflow leaves no secret in logs",OS-level crash reports may contain metadata,"Telemetry privacy test passes"
peer_sync,"Future sync leaks data metadata or deletion state across devices",confidentiality_or_consistency_loss,"Defer from MVP; later end-to-end encryption device identity conflict and deletion protocol","Cross-device compromise and deletion tests",Traffic analysis and lost-key recovery remain,"Sync blocked until separate threat model passes"
shared_device,"Partner family member or coercive actor opens narratives",personal_safety,"Local biometric gate optional decoy/quick lock and no shared profile by default","Unauthorized local-user test",Coercion cannot be solved technically,"Safety review before pilot"
narrative_output,"Model presents inference or digital sampling bias as fact",memory_distortion,"Sentence-level citations inference labels correction and source exclusion","Unsupported-fact fixture rejected; user correction test",Cited sources may still be incomplete or misleading,"Narrative-integrity evaluation meets threshold"
third_party_data,"System summarizes another person's messages health or location without consent",privacy_harm,"Minimize third-party attributes; exclude sensitive inference; user-visible source policy","Third-party trait test cases are blocked",User-controlled source may lawfully contain third-party data,"Policy and ethics review passes"
device_resources,"Background inference drains battery heats device or causes OS termination",availability_and_trust_loss,"Incremental ingest charging-only synthesis bounded model and quotas","Battery thermal memory latency and storage tests across device matrix",Older devices may remain unsupported,"Measured budgets published before pilot"
