provision,obligation_area,role,engineering_control,evidence_artifact,change_trigger,accountable_owner,status,official_source,last_legal_review
"Article 4 as amended","AI literacy governance","Relevant organisations","Maintain role-based competence and training program required by internal governance and applicable law","Role matrix; training record; competence assessment","Role model tool or applicable guidance changes","Compliance and people owner",review_required,"https://digital-strategy.ec.europa.eu/en/news/ai-omnibus-enters-force",2026-07-28
"Article 5","Prohibited practices","Provider and deployer as applicable","Prohibited-use taxonomy enforced at intake policy and release review","Use-case decision; deny test; exception review","Intended purpose feature population or law changes","Legal and compliance owner",not_assessed,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng",2026-07-28
"Articles 6 and Annex III","High-risk classification","Provider and deployer as applicable","Owned applicability workflow with source-linked legal decision and review triggers","Classification record; role analysis; intended-purpose statement","Purpose role population sector product or law changes","Legal owner",not_assessed,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng",2026-07-28
"Article 9","Risk management","High-risk provider","Versioned lifecycle risk register linked to tests incidents complaints and post-market signals","Risk file; test trace; residual-risk approval","Model data purpose control incident or evidence changes","Risk and product owner",not_assessed,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng",2026-07-28
"Article 10","Data and data governance","High-risk provider using model-development data as applicable","Dataset lineage permitted-use quality relevance representativeness and bias evaluation controls","Dataset manifest; lineage graph; evaluation report; exception","Dataset source transformation population or purpose changes","Data owner",not_assessed,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng",2026-07-28
"Article 11 and Annex IV","Technical documentation","High-risk provider","Generate release-specific technical file from approved versioned manifests","Technical file index with artifact digests and approvals","Any material release change","System owner",not_assessed,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng",2026-07-28
"Article 12","Record keeping","High-risk provider","Structured event logging with integrity clock access retention and privacy controls","Log schema; sample trace; integrity and retention test","Runtime schema tool model or retention changes","Platform and security owner",not_assessed,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng",2026-07-28
"Article 13","Transparency and information to deployers","High-risk provider","Versioned instructions covering purpose performance limits inputs oversight maintenance and logs","Release-bound deployer information bundle","Performance limitation interface or release changes","Product and compliance owner",not_assessed,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng",2026-07-28
"Article 14","Human oversight","High-risk provider and deployer duties as applicable","Named authority review interface stop override escalation and competence controls","Oversight design; scenario test; override record; role evidence","Workflow authority UI risk or user-role changes","Operations owner",not_assessed,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng",2026-07-28
"Article 15","Accuracy robustness and cybersecurity","High-risk provider","Pre-registered metrics adversarial testing resilience monitoring and incident response","Evaluation report; threat model; resilience test; open-gap register","Model data infrastructure threat or metric changes","Engineering and security owner",not_assessed,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng",2026-07-28
"Articles 16 and 17","Provider obligations and quality management","High-risk provider","Control ownership document management supplier controls release gates nonconformity and corrective action","QMS control register; release approval; corrective-action record","Organisation supplier process or requirement changes","Executive compliance owner",not_assessed,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng",2026-07-28
"Article 26","Deployer obligations","High-risk deployer","Operate per instructions assign oversight monitor logs inform workers where applicable and escalate risk/incident signals","Deployment configuration; oversight assignment; monitoring and escalation records","Provider release workplace use population or operating context changes","Deployer business owner",not_assessed,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng",2026-07-28
"Article 27","Fundamental-rights impact assessment","Specified high-risk deployers where applicable","Owned impact-assessment workflow linked to deployment context affected groups mitigations and review","Assessment and approval record; consultation evidence where required","Use context affected group control performance or law changes","Legal public-policy and business owner",not_assessed,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng",2026-07-28
"Article 43","Conformity assessment","High-risk provider","Gate placing on market or putting into service on required conformity path and exact release evidence","Conformity package; assessment result; release binding","Substantial modification standard or applicable route changes","Compliance owner",not_assessed,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng",2026-07-28
"Article 50","Transparency for certain AI systems","Provider and deployer as specified","Interaction notice content marking and disclosure controls with transformation and UI tests","Notice screenshots; marking test; disclosure record; exception decision","Content path interface model or legal-guidance changes","Product and legal owner",not_assessed,"https://digital-strategy.ec.europa.eu/en/faqs/transparency-obligations-under-article-50-ai-act",2026-07-28
"Chapter V","General-purpose AI models","GPAI provider and downstream actors as applicable","Role-specific model documentation downstream information copyright policy and systemic-risk controls where applicable","Model technical file; downstream package; policy and evaluation artifacts","Model capability training compute distribution or guidance changes","GPAI compliance owner",not_assessed,"https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers",2026-07-28
"Articles 72 and 73","Post-market monitoring and serious incident reporting as amended/applicable","Provider and other actors as applicable","Operational monitoring complaint intake severity triage escalation clock and corrective-action linkage","Monitoring plan; incident record; report decision; corrective-action trace","Incident complaint drift threshold or legal requirement changes","Safety compliance and operations owner",not_assessed,"https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng",2026-07-28
