layer,control,readiness_question,required_evidence,status,owner,last_tested,gap_or_action
interface_transport,request_envelope,"Are source principal schema version classification and idempotency key explicit?","Example accepted and rejected envelopes",not_assessed,,,
interface_transport,replay_safety,"Does replaying the same event avoid a second side effect?","Automated duplicate replay test",not_assessed,,,
interface_transport,degraded_mode,"Can provider failure queue fail over or stop safely?","Executed provider-outage scenario",not_assessed,,,
interface_transport,instruction_separation,"Can untrusted content alter system authority or policy?","Prompt-injection regression results",not_assessed,,,
identity_policy,deny_by_default,"Are tools resources and actions denied unless explicitly granted?","Capability policy and privilege-escalation tests",not_assessed,,,
identity_policy,approval_binding,"Is approval bound to the exact action hash principal and expiry?","Changed-payload rejection test",not_assessed,,,
identity_policy,budget_limits,"Do hard per-run and per-period limits stop execution?","Budget exhaustion test and receipt",not_assessed,,,
identity_policy,credential_broker,"Are credentials kept outside model context and logs?","Secret-seeded trace inspection",not_assessed,,,
orchestration_state,effect_journal,"Are external effects journaled before retry or resume?","Crash-after-write recovery test",not_assessed,,,
orchestration_state,concurrency_control,"Can concurrent writers detect or prevent conflicting mutation?","Concurrent-update test",not_assessed,,,
orchestration_state,model_routing,"Does evaluation evidence justify each model route by task risk?","Versioned routing evaluation report",not_assessed,,,
orchestration_state,immutable_intent,"Does resumed execution preserve original scope and constraints?","Cross-session resume test",not_assessed,,,
verification_recovery,domain_invariants,"Do artifact-specific checks reject known-bad output?","Negative fixtures and test results",not_assessed,,,
verification_recovery,atomic_change,"Does failed verification leave the original resource intact?","Failed-mutation integrity test",not_assessed,,,
verification_recovery,rollback,"Has restoration been executed within the recovery objective?","Timed rollback drill",not_assessed,,,
verification_recovery,irreversible_action,"Does every irreversible external effect require the configured approval?","Approval bypass test",not_assessed,,,
observability_learning,end_to_end_trace,"Can one trace reconstruct request policy plan checks and effect receipt?","Sanitized representative trace",not_assessed,,,
observability_learning,health_and_slo,"Are synthetic checks SLOs alerts owners and runbooks active?","Injected-fault alert exercise",not_assessed,,,
observability_learning,telemetry_privacy,"Do logs enforce redaction access and retention rules?","Secret and personal-data seeded test",not_assessed,,,
observability_learning,learning_gate,"Can an unverified lesson alter policy prompts or executable code?","Unauthorized-learning mutation test",not_assessed,,,
observability_learning,release_evaluation,"Does every release compare stable metrics with a baseline?","Versioned release evaluation report",not_assessed,,,
