section,field,prompt,data_classification,owner,response
information_boundary,approved_system,"Which approved tool and retention policy apply?",internal,negotiator,
information_boundary,redactions,"Which names values dates and identifiers must be replaced?",restricted,negotiator,
decision,objective,"What outcome do I want and why?",internal,negotiator,
decision,batna,"What is my best realistic alternative if there is no agreement?",restricted,decision_owner,
decision,reservation_point,"What is the worst acceptable package including non-price terms?",restricted,decision_owner,
decision,target,"What ambitious but defensible package will I propose?",restricted,decision_owner,
decision,authority,"What may I decide and what requires approval?",internal,decision_owner,
counterpart,known_constraints,"What constraints are supported by evidence?",internal,negotiator,
counterpart,hypotheses,"What interests do I suspect and what evidence supports each?",internal,negotiator,
counterpart,disconfirming_questions,"What question could prove each hypothesis wrong?",internal,negotiator,
value,evidence,"Which source supports each factual claim?",internal,negotiator,
value,reciprocal_trades,"What can I trade rather than concede and what must I receive?",restricted,decision_owner,
rehearsal,objections,"Which plausible objections should I rehearse?",synthetic,negotiator,
rehearsal,assumption_challenge,"Which assumption would most damage my plan if false?",synthetic,negotiator,
questions,understanding,"Which how or what questions will test understanding?",synthetic,negotiator,
questions,accusation_audit,"What negative concern might the counterpart reasonably raise?",synthetic,negotiator,
safety,stop_conditions,"Which signals require a pause walk-away or expert review?",restricted,decision_owner,
safety,prohibited_actions,"Which tactics data uses or representations are prohibited?",internal,decision_owner,
debrief,new_information,"Which questions produced information I did not have?",internal,negotiator,
debrief,assumptions,"Which assumptions were confirmed contradicted or remain unknown?",internal,negotiator,
debrief,trades_and_concessions,"What did each side offer and receive?",restricted,negotiator,
debrief,outcome_vs_boundary,"Did the result remain above the reservation point?",restricted,decision_owner,
debrief,next_test,"What single behavior will I test in the next rehearsal?",internal,negotiator,
